Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2025-07-23,42.3127,-87.656086,Chicago,Illinois,Disembodied voice whispered a name.,Afternoon,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2021-02-14,41.704624,-81.281231,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,White Lady,
2022-10-17,29.912796,-89.976034,New Orleans,Louisiana,Figure disappeared upon approach.,Morning,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_2.png
2022-12-14,25.774015,-80.199549,Miami,Florida,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,
2024-05-31,29.863385,-95.823513,Houston,Texas,Phantom footsteps heard in empty hallway.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2024-02-07,41.623864,-87.566771,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Evening,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2023-12-10,41.75796,-87.465332,Chicago,Illinois,Witness captured blurry image on phone.,Evening,White Lady,
2025-09-02,41.648686,-93.513401,Des Moines,Iowa,Temperature dropped suddenly by 10°F.,Dawn,Orbs,
2020-11-05,30.286446,-97.845146,Austin,Texas,Curtains moved though windows were shut.,Evening,Full-Body Apparition,
2021-01-12,41.162283,-96.531645,Omaha,Nebraska,Disembodied voice whispered a name.,Morning,Shadow Figure,
2023-08-09,29.787267,-95.538891,Houston,Texas,Scent of old perfume noticed with no source.,Morning,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2024-08-24,33.774508,-87.174438,Birmingham,Alabama,Apparition seen floating near old church grounds.,Night,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2023-08-19,43.153781,-87.64253,Milwaukee,Wisconsin,Figure disappeared upon approach.,Midnight,Orbs,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2024-06-10,29.876181,-90.077085,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Dawn,Phantom Sounds,
2023-11-14,41.824903,-93.675184,Des Moines,Iowa,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,
2021-05-22,41.542981,-93.573026,Des Moines,Iowa,Phantom footsteps heard in empty hallway.,Night,Shadow Figure,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2021-03-05,41.664917,-93.734727,Des Moines,Iowa,Temperature dropped suddenly by 10°F.,Evening,White Lady,
2025-06-14,29.802114,-90.178192,New Orleans,Louisiana,Local dog barking frantically before sighting.,Dawn,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2023-02-13,28.002074,-82.596999,Tampa,Florida,Old radio emitted static and a faint melody.,Evening,White Lady,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2024-08-25,29.960762,-95.183747,Houston,Texas,Figure disappeared upon approach.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2021-07-26,29.711115,-95.271909,Houston,Texas,Figure disappeared upon approach.,Morning,White Lady,
2024-11-05,33.243879,-87.091711,Birmingham,Alabama,Temperature dropped suddenly by 10°F.,Dawn,White Lady,
2024-01-31,39.657518,-86.263827,Indianapolis,Indiana,Glowing orb photographed in backyard.,Morning,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2023-12-02,39.741305,-85.932587,Indianapolis,Indiana,Flickering streetlamp coincided with sighting.,Night,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2023-10-24,32.866288,-96.855844,Dallas,Texas,Figure disappeared upon approach.,Night,Phantom Sounds,
2025-05-30,27.315036,-82.389706,Tampa,Florida,Figure disappeared upon approach.,Dawn,Poltergeist,
2024-08-15,30.159185,-89.008896,Gulfport,Mississippi,Witness captured blurry image on phone.,Dawn,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2024-02-19,29.669509,-98.26301,San Antonio,Texas,Apparition seen floating near old church grounds.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-05-02,41.841853,-96.163931,Omaha,Nebraska,Flickering streetlamp coincided with sighting.,Midnight,Headless Spirit,
2024-12-27,30.261229,-97.909278,Austin,Texas,Disembodied voice whispered a name.,Midnight,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2023-12-22,41.421989,-95.814262,Omaha,Nebraska,Flickering streetlamp coincided with sighting.,Night,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2023-11-09,36.290467,-115.111205,Las Vegas,Nevada,Disembodied voice whispered a name.,Dawn,Shadow Figure,
2024-03-05,32.142014,-90.821203,Jackson,Mississippi,Curtains moved though windows were shut.,Evening,Poltergeist,
2022-06-08,29.501593,-95.42342,Houston,Texas,Witness captured blurry image on phone.,Night,White Lady,
2023-01-01,39.969305,-82.882676,Columbus,Ohio,Disembodied voice whispered a name.,Midnight,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2022-05-10,44.694385,-93.573107,Minneapolis,Minnesota,Scent of old perfume noticed with no source.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2025-04-16,30.141976,-91.000949,Baton Rouge,Louisiana,Disembodied voice whispered a name.,Morning,White Lady,
2022-03-28,30.009617,-97.917172,Austin,Texas,Disembodied voice whispered a name.,Midnight,Shadow Figure,
2023-03-01,30.257676,-97.574779,Austin,Texas,Witness reported cold spots and flickering lights.,Night,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2022-08-03,38.5699,-90.089773,St. Louis,Missouri,Figure disappeared upon approach.,Morning,Shadow Figure,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2022-08-26,32.524056,-96.719983,Dallas,Texas,Witness captured blurry image on phone.,Evening,Shadow Figure,
2025-01-14,37.734152,-97.391646,Wichita,Kansas,Curtains moved though windows were shut.,Evening,Orbs,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2022-08-07,28.486402,-81.359525,Orlando,Florida,Curtains moved though windows were shut.,Morning,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-02-01,40.31335,-83.149228,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2025-09-24,29.222898,-98.545144,San Antonio,Texas,Curtains moved though windows were shut.,Dawn,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-03-26,38.674254,-90.042643,St. Louis,Missouri,Glowing orb photographed in backyard.,Midnight,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2021-01-13,39.423772,-85.804363,Indianapolis,Indiana,Apparition matched description of local legend.,Night,Headless Spirit,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2025-03-20,28.72066,-81.904359,Orlando,Florida,Old radio emitted static and a faint melody.,Night,Phantom Sounds,
2021-08-19,41.029938,-95.724821,Omaha,Nebraska,Witness captured blurry image on phone.,Dawn,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2021-04-09,28.302019,-82.269993,Tampa,Florida,Glowing orb photographed in backyard.,Midnight,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2024-08-15,39.796924,-86.123522,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Dawn,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2023-05-16,42.939803,-88.218951,Milwaukee,Wisconsin,Disembodied voice whispered a name.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2022-07-21,41.274805,-81.35982,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Shadow Figure,
2021-03-25,28.482179,-81.329097,Orlando,Florida,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2023-02-15,29.49308,-98.433603,San Antonio,Texas,Figure disappeared upon approach.,Afternoon,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2024-09-28,30.80096,-88.015358,Mobile,Alabama,Scent of old perfume noticed with no source.,Midnight,White Lady,
2025-09-06,41.592958,-81.765324,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2020-12-01,30.304492,-97.830791,Austin,Texas,Figure disappeared upon approach.,Evening,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2023-05-21,39.807961,-82.852365,Columbus,Ohio,Apparition matched description of local legend.,Morning,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-03-25,32.390842,-89.988464,Jackson,Mississippi,Old radio emitted static and a faint melody.,Evening,Poltergeist,
2025-01-16,28.719048,-81.44663,Orlando,Florida,Curtains moved though windows were shut.,Evening,Headless Spirit,
2024-12-01,37.532645,-97.818987,Wichita,Kansas,Witness captured blurry image on phone.,Night,White Lady,
2023-03-20,43.006571,-87.96873,Milwaukee,Wisconsin,Scent of old perfume noticed with no source.,Dawn,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2021-01-31,29.781998,-95.439833,Houston,Texas,Flickering streetlamp coincided with sighting.,Night,Phantom Sounds,
2024-04-17,32.889881,-96.78006,Dallas,Texas,Old radio emitted static and a faint melody.,Evening,Orbs,
2021-09-16,41.900564,-93.380545,Des Moines,Iowa,Temperature dropped suddenly by 10°F.,Afternoon,White Lady,
2023-05-30,25.773624,-80.289997,Miami,Florida,Disembodied voice whispered a name.,Morning,Shadow Figure,
2020-10-22,39.633833,-85.689631,Indianapolis,Indiana,Witness captured blurry image on phone.,Afternoon,Headless Spirit,
2024-04-19,39.701151,-86.063276,Indianapolis,Indiana,Temperature dropped suddenly by 10°F.,Night,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2025-01-06,29.892402,-89.733063,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Dawn,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2023-03-08,41.735414,-86.640299,Chicago,Illinois,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,
2021-02-14,42.019231,-81.46013,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,White Lady,
2024-01-19,39.875341,-86.261631,Indianapolis,Indiana,Temperature dropped suddenly by 10°F.,Afternoon,Phantom Sounds,
2024-04-06,38.538584,-90.020194,St. Louis,Missouri,Scent of old perfume noticed with no source.,Afternoon,Full-Body Apparition,
2021-12-26,29.7938,-98.067161,San Antonio,Texas,Scent of old perfume noticed with no source.,Night,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2025-04-04,29.678516,-90.064593,New Orleans,Louisiana,Scent of old perfume noticed with no source.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2021-04-10,40.623159,-73.456287,New York,New York,Flickering streetlamp coincided with sighting.,Morning,Poltergeist,
2024-03-14,29.982065,-90.300693,New Orleans,Louisiana,Apparition matched description of local legend.,Morning,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
2022-09-23,33.795858,-86.771661,Birmingham,Alabama,Curtains moved though windows were shut.,Afternoon,Headless Spirit,
2024-03-22,41.425157,-81.878894,Cleveland,Ohio,Figure disappeared upon approach.,Dawn,Full-Body Apparition,
2022-03-20,41.86224,-87.614632,Chicago,Illinois,Temperature dropped suddenly by 10°F.,Night,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
2024-07-04,40.483173,-89.200777,Peoria,Illinois,Temperature dropped suddenly by 10°F.,Night,Poltergeist,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2024-03-15,38.635837,-90.099612,St. Louis,Missouri,Figure disappeared upon approach.,Evening,Poltergeist,
2021-01-21,34.095916,-118.497906,Los Angeles,California,Old radio emitted static and a faint melody.,Afternoon,White Lady,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2022-06-16,41.877228,-87.585182,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Dawn,Phantom Sounds,
2023-01-31,39.391737,-85.525693,Indianapolis,Indiana,Local dog barking frantically before sighting.,Night,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2020-12-20,41.782977,-87.922704,Chicago,Illinois,Witness reported cold spots and flickering lights.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2024-09-08,41.515068,-81.940721,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2023-09-09,33.598348,-86.795183,Birmingham,Alabama,Old radio emitted static and a faint melody.,Dawn,Full-Body Apparition,
2020-10-02,30.450247,-90.097968,New Orleans,Louisiana,Local dog barking frantically before sighting.,Evening,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2023-04-02,29.845045,-95.692819,Houston,Texas,Local dog barking frantically before sighting.,Dawn,Poltergeist,
2021-05-26,25.660204,-80.267665,Miami,Florida,Disembodied voice whispered a name.,Afternoon,Shadow Figure,
2022-11-26,41.451155,-86.851961,Chicago,Illinois,Local dog barking frantically before sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_1.png
2020-10-17,44.864083,-93.296457,Minneapolis,Minnesota,Local dog barking frantically before sighting.,Morning,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2021-01-28,25.473544,-80.156063,Miami,Florida,Local dog barking frantically before sighting.,Afternoon,White Lady,
2022-08-03,45.153999,-93.245999,Minneapolis,Minnesota,Apparition matched description of local legend.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2021-12-01,28.207355,-81.855147,Orlando,Florida,Local dog barking frantically before sighting.,Evening,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
2023-03-16,29.93283,-90.126597,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Evening,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2023-08-14,33.452667,-86.952797,Birmingham,Alabama,Temperature dropped suddenly by 10°F.,Night,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2021-03-16,33.316837,-86.727558,Birmingham,Alabama,Temperature dropped suddenly by 10°F.,Midnight,Orbs,
2022-06-25,38.653287,-90.268046,St. Louis,Missouri,Local dog barking frantically before sighting.,Morning,Headless Spirit,
2025-01-08,40.417076,-89.025345,Peoria,Illinois,Witness reported cold spots and flickering lights.,Evening,Orbs,
2024-02-14,29.016794,-81.719076,Orlando,Florida,Glowing orb photographed in backyard.,Midnight,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2022-12-16,29.544085,-98.569789,San Antonio,Texas,Glowing orb photographed in backyard.,Midnight,Poltergeist,
2021-05-13,41.782818,-87.764574,Chicago,Illinois,Disembodied voice whispered a name.,Morning,Headless Spirit,
2022-09-12,41.506515,-95.688886,Omaha,Nebraska,Temperature dropped suddenly by 10°F.,Midnight,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2024-08-19,30.295559,-97.728257,Austin,Texas,Old radio emitted static and a faint melody.,Night,Orbs,
2021-08-11,32.134807,-90.604813,Jackson,Mississippi,Figure disappeared upon approach.,Midnight,Phantom Sounds,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2022-02-25,29.45339,-98.520297,San Antonio,Texas,Old radio emitted static and a faint melody.,Night,Orbs,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2022-12-29,28.873987,-98.427549,San Antonio,Texas,Electronic devices malfunctioned during sighting.,Midnight,Poltergeist,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2021-10-20,38.53322,-90.014512,St. Louis,Missouri,Electronic devices malfunctioned during sighting.,Morning,White Lady,
2024-08-26,41.871552,-82.050335,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2024-06-28,42.194487,-87.396006,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Morning,Full-Body Apparition,
2022-12-21,39.855192,-86.207051,Indianapolis,Indiana,Disembodied voice whispered a name.,Morning,Phantom Sounds,
2025-07-09,29.916884,-90.230868,New Orleans,Louisiana,Local dog barking frantically before sighting.,Night,Shadow Figure,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2025-03-11,28.413554,-81.431555,Orlando,Florida,Figure disappeared upon approach.,Night,Poltergeist,
2024-02-27,39.550463,-85.898419,Indianapolis,Indiana,Witness captured blurry image on phone.,Morning,Shadow Figure,
2022-02-14,41.770557,-93.525387,Des Moines,Iowa,Glowing orb photographed in backyard.,Night,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2022-09-08,29.866655,-95.164252,Houston,Texas,Apparition seen floating near old church grounds.,Morning,Shadow Figure,
2023-02-03,38.079517,-97.250224,Wichita,Kansas,Apparition matched description of local legend.,Midnight,Headless Spirit,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2021-08-12,41.822371,-87.740386,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Night,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2022-03-15,37.468856,-97.197208,Wichita,Kansas,Flickering streetlamp coincided with sighting.,Night,Phantom Sounds,
2021-08-18,41.77818,-93.590569,Des Moines,Iowa,Glowing orb photographed in backyard.,Night,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2021-08-26,37.533318,-96.918211,Wichita,Kansas,Curtains moved though windows were shut.,Evening,Phantom Sounds,
2025-08-13,41.762975,-96.031831,Omaha,Nebraska,Scent of old perfume noticed with no source.,Midnight,Phantom Sounds,
2021-07-27,32.44928,-97.023932,Dallas,Texas,Scent of old perfume noticed with no source.,Night,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2024-07-07,40.102932,-83.243142,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
2020-10-24,41.941063,-87.764151,Chicago,Illinois,Glowing orb photographed in backyard.,Morning,Full-Body Apparition,
